id,site_code,X,Y,lon,lat,Aclay_base_altitude,gse,depth_to_base_Aclay,thickness_Aclay
1054,367193N1202238W001,747949.4558,4067326.812,-120.223787,36.719295,109,172.5,63.5,13.67
1055,367263N1202060W001,749516.9049,4068149.824,-120.205987,36.726295,113,180.7,67.7,13.23
1056,367457N1202232W001,747918.075,4070257.858,-120.223187,36.745695,108,177.3,69.3,14.55
1057,367452N1202327W001,747071.3158,4070177.8,-120.232687,36.745195,105,172.5,67.5,14.9
1058,367488N1202374W001,746640.0644,4070565.149,-120.237387,36.748795,104,172.5,68.5,15.17
1064,366960N1202007W001,750088.6015,4064801.386,-120.200687,36.695995,114,172.9,58.9,11.75
1373,367596N1202579W001,744775.1209,4071710.917,-120.257887,36.759595,101,163.1,62.1,16.14
1374,367699N1202668W001,743947.8304,4072831.115,-120.266787,36.769895,101,163.1,62.1,16.51
1375,367666N1202668W001,743958.2945,4072464.931,-120.266787,36.766595,101,163.1,62.1,16.5
1381,367691N1202616W001,744414.5892,4072755.622,-120.261587,36.769095,101,163.1,62.1,16.34
1382,367730N1202732W001,743366.6794,4073158.798,-120.273187,36.772995,100,163.1,63.1,16.7
1538,367674N1203810W001,733760.6465,4072268.467,-120.380987,36.767395,100,164.4,64.4,17.24
1543,367316N1203610W001,735655.6619,4068345.091,-120.360987,36.731595,100,163.9,63.9,17.84
1544,367796N1203729W001,734446.5731,4073642.036,-120.372887,36.779595,100,163.1,63.1,17.18
1545,367805N1203718W001,734542.0132,4073744.601,-120.371787,36.780495,100,163.1,63.1,17.18
1558,367488N1203524W001,736370.9778,4070274.851,-120.352387,36.748795,100,164.2,64.2,17.92
1564,367485N1203188W001,739372.241,4070325.101,-120.318787,36.748495,100,162.6,62.6,18.06
1565,367735N1203229W001,738928.4965,4073088.936,-120.322887,36.773495,100,163.1,63.1,17.62
1566,367824N1203377W001,737579.8515,4074039.63,-120.337687,36.782395,100,163.1,63.1,17.47
1572,367416N1202966W001,741376.2516,4069615.224,-120.296587,36.741595,100,166.5,66.5,17.57
1573,367768N1203024W001,740748.1473,4073506.539,-120.302387,36.776795,100,163.1,63.1,17.33
1574,367641N1202941W001,741528.9068,4072118.225,-120.294087,36.764095,100,163.1,63.1,17.32
1575,367810N1203071W001,740315.4837,4073960.764,-120.307087,36.780995,100,163.1,63.1,17.34
1580,367738N1202877W001,742069.7674,4073210.762,-120.287687,36.773795,100,163.1,63.1,17.07
3607,367534N1203909W001,732919.2105,4070690.851,-120.390887,36.753395,100,176.6,76.6,17.21
3608,367491N1203884W001,733155.4553,4070219.806,-120.388387,36.749095,100,177.3,77.3,17.3
3625,367343N1203694W001,734897.1838,4068624.039,-120.369387,36.734295,100,167.5,67.5,17.72
3626,367345N1203806W001,733896.2868,4068618.802,-120.380587,36.734495,100,175.1,75.1,17.51
3627,367312N1203606W001,735692.6116,4068301.691,-120.360587,36.731195,100,163.9,63.9,17.84
3628,367458N1203690W001,734897.8321,4069901.083,-120.368987,36.745795,100,167.7,67.7,17.7
3629,367558N1203732W001,734492.3192,4071000.4,-120.373187,36.755795,100,163.1,63.1,17.54
3630,367554N1203732W001,734493.5377,4070956.015,-120.373187,36.755395,100,163.1,63.1,17.54
4176,367200N1203690W001,734976.512,4067038.268,-120.368987,36.719995,100,169.2,69.2,17.64
4783,367771N1203724W001,734498.8248,4073365.857,-120.372387,36.777095,100,163.1,63.1,17.23
4789,367710N1203371W001,737668.6295,4072776.14,-120.337087,36.770995,100,163.1,63.1,17.69
4792,367768N1203232W001,738891.467,4073454.366,-120.323187,36.776795,100,163.1,63.1,17.56
4793,367730N1203049W001,740536.8713,4073078.584,-120.304887,36.772995,100,163.1,63.1,17.43
4794,367702N1202910W001,741786.4999,4072802.94,-120.290987,36.770195,100,163.1,63.1,17.18
4795,367657N1202902W001,741872.064,4072305.624,-120.290187,36.765695,100,163.1,63.1,17.2
4796,367571N1202521W001,745300.9403,4071448.363,-120.252087,36.757095,102,166.2,64.2,15.9
