Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
28952,355730N1195996W001,808173.6286,3941912.61,-119.599587,35.572995,1791.486,126.0565
28956,355730N1195996W002,808173.6286,3941912.61,-119.599587,35.572995,1791.486,126.0565
28960,355719N1195968W001,808431.7077,3941799.321,-119.596788,35.571895,1798.038,125.4569
28964,355589N1196004W002,808155.1612,3940345.423,-119.600387,35.558895,1658.169,139.3226
28968,355768N1195997W001,808149.9859,3942333.983,-119.599688,35.576795,1803.44,121.6571
28972,355650N1195802W003,809963.3542,3941085.813,-119.580187,35.564995,1696.11,114.3636
28976,355864N1195670W001,811077.3529,3943502.285,-119.566987,35.586395,1776.857,96.67573
28980,355861N1195704W001,810770.3084,3943458.239,-119.570387,35.586095,1788.683,98.8165
28984,355772N1195552W001,812182.7699,3942518.748,-119.555188,35.577195,1673.328,88.32471
28992,354992N1196160W001,806968.2194,3933671.807,-119.615988,35.499195,1518.92,105.8103
28996,355144N1196210W001,806456.6482,3935342.964,-119.620987,35.514395,1393.997,140.7858
29000,355140N1196165W001,806866.4515,3935312.589,-119.616488,35.513995,1408.417,131.4703
29004,355285N1195830W002,809850.0739,3937026.565,-119.582988,35.528495,1325.929,102.1646
29008,355563N1195827W001,809770.2008,3940112.491,-119.582688,35.556295,1579.346,117.9623
29012,355572N1195627W001,811580.3652,3940275.528,-119.562687,35.557195,1457.021,90.22857
29024,354852N1195976W001,808691.5756,3932175.726,-119.597588,35.485195,1915.033,86.57394
29028,355000N1196050W001,807963.3678,3933794.914,-119.604987,35.499995,1595.581,86.58324
29032,355000N1196050W002,807963.3678,3933794.914,-119.604987,35.499995,1595.581,86.58324
29036,355031N1195831W001,809938.7695,3934207.606,-119.583088,35.503095,1648.794,86.51882
29040,354994N1195849W001,809789.6621,3933791.354,-119.584887,35.499395,1720.019,86.92931
29044,355578N1195360W001,813999.2401,3940427.011,-119.535988,35.557795,1422.813,43.78834
29056,354560N1196195W001,806814.9579,3928867.072,-119.619488,35.455995,2024.56,165.2283
29060,354872N1195629W002,811833.3066,3932506.918,-119.562888,35.487195,2108.006,132.4701
29064,355019N1195677W001,811340.8458,3934123.007,-119.567688,35.501895,1705.394,93.7017
29068,354872N1195629W001,811833.3066,3932506.918,-119.562888,35.487195,2108.006,132.4701
29072,355139N1195643W001,811602.9415,3935465.409,-119.564288,35.513895,1440.033,77.93114
29080,354561N1195794W001,810455.4599,3929003.666,-119.579387,35.456095,2745.632,226.2288
29092,354571N1195684W001,811450.3543,3929149.322,-119.568388,35.457095,2806.319,229.2202
29104,354275N1194124W001,825734.1751,3926368.373,-119.412387,35.427495,1637.461,65.82188
29108,354205N1194040W001,826525.4734,3925619.303,-119.403987,35.420495,1671.349,58.18529
29112,353838N1194215W001,825083.3075,3921488.751,-119.421487,35.383795,2091.019,84.6585
