Field1,site_code,X,Y,lon,lat,MidTulareClay_Depth2top,MidTulareClay_Thickness
42848,356056N1196416W003,804242.2655,3945399.39,-119.641587,35.605595,730.524,145.3955
42852,356044N1196296W001,805334.3303,3945303.448,-119.629587,35.604395,668.6771,139.4692
42856,356157N1196317W001,805101.0417,3946550.881,-119.631687,35.615695,680.5867,140.0845
42884,355875N1196288W001,805471.1344,3943430.55,-119.628787,35.587495,692.1702,140.7512
42888,356101N1196181W001,806354.7734,3945971.772,-119.618087,35.610095,613.5397,132.8805
42904,355578N1196182W001,806545.2772,3940167.743,-119.618188,35.557795,891.4464,137.6534
42908,355580N1196188W001,806490.1069,3940188.067,-119.618787,35.557995,889.6295,138.4655
42912,355673N1196204W001,806309.5749,3941215.099,-119.620388,35.567295,760.0804,136.0612
42916,355875N1196224W001,806051.2669,3943450.456,-119.622388,35.587495,640.9373,135.1582
42920,356013N1195920W001,808753.8327,3945076.926,-119.591988,35.601295,513.4016,112.3227
42924,355997N1195821W001,809657.2553,3944930.523,-119.582088,35.599695,523.7172,104.6244
42928,355288N1196206W002,806438.1153,3936942.161,-119.620587,35.528795,1120.012,182.0786
42936,355865N1195682W001,810968.1872,3943509.585,-119.568187,35.586495,594.7855,87.73412
42940,355866N1195834W001,809589.9465,3943472.705,-119.583388,35.586595,497.6935,96.80725
42948,354853N1196243W001,806267.8541,3932103.516,-119.624287,35.485295,1032.87,264.7763
42952,355140N1196164W001,806875.5244,3935312.901,-119.616388,35.513995,1088.764,207.0196
42956,355530N1195827W002,809782.9164,3939746.288,-119.582688,35.552995,1714.395,62.19144
44576,356448N1197084W001,798042.8769,3949544.531,-119.708387,35.644795,687.7675,135.1378
44612,356022N1196952W001,799397.5064,3944857.473,-119.695187,35.602195,643.6194,160.7798
44636,355656N1196335W001,805128.2717,3940985.732,-119.633488,35.565595,848.8728,153.2088
44640,355797N1196399W001,804494.5412,3942530.557,-119.639887,35.579695,794.4692,152.2035
44656,355756N1196335W002,805090.2994,3942095.422,-119.633487,35.575595,779.5145,148.2627
44660,356097N1196181W001,806356.3008,3945927.384,-119.618087,35.609695,612.8412,132.8385
44664,356231N1195896W001,808887.3992,3947503.641,-119.589587,35.623095,576.0259,118.3407
44668,355356N1196271W001,805822.6401,3937676.535,-119.627088,35.535595,1068.539,177.6815
44672,355756N1196225W001,806087.5497,3942129.607,-119.622488,35.575595,697.7557,136.561
44676,355865N1195985W001,808221.5488,3943414.158,-119.598488,35.586495,472.5569,110.8676
44680,355865N1195985W002,808221.5488,3943414.158,-119.598488,35.586495,472.5569,110.8676
44684,355865N1195985W003,808221.5488,3943414.158,-119.598488,35.586495,472.5569,110.8676
44688,355865N1195865W001,809309.323,3943451.849,-119.586488,35.586495,482.6195,99.30685
44692,355818N1195997W001,808130.8044,3942888.835,-119.599688,35.581795,478.977,109.8464
44696,355217N1196254W001,806029.692,3936139.352,-119.625388,35.521695,1053.549,199.8443
44700,355283N1196191W001,806576.0885,3936891.347,-119.619088,35.528295,1131.013,181.3783
44704,355708N1195638W001,811427.9084,3941781.257,-119.563788,35.570795,989.2372,69.70052
44720,354853N1196185W001,806794.2704,3932121.557,-119.618488,35.485295,1057.766,262.8188
44732,355530N1195827W001,809782.9164,3939746.288,-119.582688,35.552995,1714.395,62.19144
46896,356014N1196176W001,806433.3046,3945007.892,-119.617587,35.601395,598.3846,131.6998
46912,355944N1195814W001,809741.1496,3944344.581,-119.581388,35.594395,506.0822,101.0034
46920,355716N1195808W001,809883.4967,3941816.33,-119.580787,35.571595,790.0333,78.72002
46924,355687N1195623W001,811572.0514,3941552.968,-119.562287,35.568695,1079.131,67.09374
46988,355423N1195825W001,809842.2784,3938559.531,-119.582487,35.542295,1717.072,71.81636
