OBJECTID__,id,site_code,X,Y,lon,lat,Cclay_base_altitude,thickness_Cclay,gse
319,3206,361094N1196091W001,805247.1082,4001408.891,-119.609087,36.109395,-78.43094,23.8276,201.6010891
396,3822,362260N1198700W001,781336.0669,4013559.058,-119.869987,36.225995,-78.38783,26.61514,210.9273361
12,1038,367485N1202688W001,743837.0797,4070451.368,-120.268787,36.748495,-78.09983,19.39839,171.1414425
13,1039,367488N1202699W001,743737.9029,4070481.855,-120.269887,36.748795,-78.03082,19.36766,170.6136538
164,2268,361967N1198727W001,781198.2547,4010299.83,-119.872687,36.196695,-77.82569,27.68254,207.605945
163,2267,362056N1198704W001,781373.2327,4011294.129,-119.870387,36.205595,-77.39431,27.19718,208.7986287
172,2276,361817N1198810W001,780505.2749,4008611.25,-119.880987,36.181695,-76.95766,29.07658,211.5572574
272,2850,362111N1198716W001,781245.6066,4011900.973,-119.871587,36.211095,-76.73231,27.22994,209.3979726
419,3859,361500N1196410W001,802218.5571,4005814.662,-119.640987,36.149995,-76.35404,31.79298,209.7240881
169,2273,361894N1198779W001,780756.6377,4009474.682,-119.877887,36.189395,-76.20197,28.39847,209.8980382
662,5994,367458N1203688W001,734915.6918,4069901.574,-120.368787,36.745795,-75.91402,15.88357,167.5376038
355,3628,367458N1203690W001,734897.8321,4069901.083,-120.368987,36.745795,-75.81436,15.88271,167.6567639
409,3842,361672N1198858W001,780125.1338,4006988.335,-119.885787,36.167195,-75.6462,29.71069,211.2100461
708,6181,361100N1196010W001,805974.1953,4001500.979,-119.600987,36.109995,-75.55428,22.72751,202.3693962
647,5716,361233N1196160W001,804571.9895,4002929.786,-119.615987,36.123295,-75.01736,24.11158,206.7447573
709,6185,360200N1195210W001,813535.8477,3991768.01,-119.520987,36.019995,-74.84019,25.63433,201.9090616
352,3625,367343N1203694W001,734897.1838,4068624.039,-120.369387,36.734295,-74.2947,15.94639,167.5164096
672,6015,366908N1203650W001,735422.9518,4063808.017,-120.364987,36.690795,-74.29224,16.2692,172.8287785
205,2333,360244N1195185W001,813743.7676,3992264.377,-119.518487,36.024395,-74.24051,23.06812,203.6816994
140,2012,361528N1196366W001,802603.8018,4006139.115,-119.636587,36.152795,-74.03715,28.87946,210.3955448
805,6916,362400N1198300W001,784881.6501,4015229.613,-119.829987,36.239995,-73.98145,21.98185,211.2286157
806,6917,362400N1198300W002,784881.6501,4015229.613,-119.829987,36.239995,-73.98145,21.98185,211.2286157
382,3710,366487N1203336W001,738358.864,4059214.145,-120.333587,36.648695,-73.75623,13.42239,167.3709043
711,6196,358769N1195182W001,814355.5395,3975896.121,-119.518187,35.876895,-73.68158,23.17081,212.6325855
412,3849,361385N1199057W001,778436.1511,4003746.275,-119.905687,36.138495,-73.17906,42.90228,219.5430188
142,2016,361383N1196218W001,803991.8459,4004576.241,-119.621787,36.138295,-73.10941,22.69379,209.641903
661,5993,367552N1203732W001,734494.147,4070933.823,-120.373187,36.755195,-73.07796,<Null>,163.1364882
357,3630,367554N1203732W001,734493.5377,4070956.015,-120.373187,36.755395,-73.07346,<Null>,163.1364882
356,3629,367558N1203732W001,734492.3192,4071000.4,-120.373187,36.755795,-73.06464,<Null>,163.1364882
660,5992,367556N1203733W001,734483.9998,4070977.962,-120.373287,36.755595,-73.03432,<Null>,163.1364882
95,1733,361678N1196904W001,797704.9951,4007637.196,-119.690387,36.167795,-72.93778,53.53753,208.9145408
216,2398,366769N1203602W001,735894.3736,4062277.46,-120.360187,36.676895,-72.81923,14.06189,173.3132273
540,5158,361678N1196732W001,799252.6926,4007690.152,-119.673187,36.167795,-72.65234,43.19141,210.4382285
532,5138,361892N1197207W001,794898.2238,4009919.407,-119.720687,36.189195,-72.17775,42.77526,212.1628021
705,6177,361900N1197210W001,794868.2335,4010007.272,-119.720987,36.189995,-72.00941,41.89114,212.4797312
182,2286,362256N1197718W001,790166.8851,4013804.488,-119.771787,36.225595,-71.85367,21.425,217.4614243
815,6943,361700N1196900W001,797732.6547,4007882.568,-119.689987,36.169995,-71.79295,50.03874,209.2553545
88,1722,361958N1197257W001,794423.6971,4010636.626,-119.725687,36.195795,-71.72838,36.0905,212.8314701
490,4176,367200N1203690W001,734976.512,4067038.268,-120.368987,36.719995,-71.28741,16.51212,169.1568296
315,3202,361375N1196074W001,805291.2112,4004532.682,-119.607387,36.137495,-71.06938,20.4577,210.333865
666,6003,367198N1203693W001,734950.3231,4067015.34,-120.369287,36.719795,-70.92295,16.51697,169.3505632
648,5717,361236N1195902W001,806893.7411,4003044.365,-119.590187,36.123595,-70.85575,20.13937,207.6474804
121,1950,362264N1197682W001,790487.6116,4013904.061,-119.768187,36.226395,-70.79964,21.39563,217.8576185
136,2007,361675N1196360W001,802601.2215,4007772.336,-119.635987,36.167495,-69.92816,25.68159,212.2042391
171,2275,361514N1199066W001,778309.5122,4005175.166,-119.906587,36.151395,-69.88748,35.37149,221.9702827
70,1701,362494N1198560W001,782510.5008,4016196.518,-119.855987,36.249395,-69.76067,24.00335,207.5954135
