id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
2630,358053N1192240W001,841236.1464,3968937.077,-119.223988,35.805295,208.112,10
7247,361856N1193313W001,829944.671,4010775.562,-119.331287,36.185595,208.118,42.1396
6368,371574N1207566W001,699211.7559,4114689.293,-120.756587,37.157395,208.168,76.7326
4361,375902N1211846W001,660278.2076,4161897.12,-121.184587,37.590195,208.27,10
184,375366N1212038W001,658696.6475,4155917.17,-121.203787,37.536595,208.342,10
860,371118N1206810W001,706049.6056,4109791.039,-120.680987,37.111795,208.394,50
2633,358425N1192237W001,841103.7652,3973066.868,-119.223687,35.842495,208.523,36.5095
1210,370838N1206166W001,711850.5866,4106825.9,-120.616587,37.083795,208.761,47.1683
54,375949N1213261W001,647775.2799,4162186.478,-121.326087,37.594895,208.805,57.3117
4952,370182N1204746W001,724667.9393,4099872.943,-120.474587,37.018195,208.827,76.8333
5048,369235N1202199W001,747638.3856,4089996.378,-120.219887,36.923495,208.833,10
2882,356308N1195900W001,808821.4979,3948356.862,-119.589988,35.630795,208.868,10
1136,350164N1189274W001,871666.137,3882448.296,-118.927388,35.016395,208.942,10
1274,370024N1204254W001,729093.1763,4098237.087,-120.425387,37.002395,209.204,66.2154
2029,362703N1193766W001,825517.1443,4020022.756,-119.376587,36.270295,209.221,28.2628
490,373132N1209118W001,685047.094,4131661.635,-120.911787,37.313195,209.349,60.4006
504,372605N1208549W001,690222.6016,4125927.048,-120.854887,37.260495,209.368,53.2263
6351,373282N1209310W001,683309.032,4133288.578,-120.930987,37.328195,209.531,66.7621
2530,361114N1193042W001,832696.7179,4002632.895,-119.304187,36.111395,209.599,49.4818
1159,371746N1208335W001,692338.6295,4116438.943,-120.833487,37.174595,209.727,126.281
1296,369893N1203974W001,731624.8961,4096851.252,-120.397387,36.989295,210.033,69.0093
2050,362683N1193584W001,827161.2015,4019862.214,-119.358387,36.268295,210.093,36.1307
4918,369618N1208588W001,690624.3804,4092776.48,-120.858787,36.961795,210.332,73.3903
4956,370105N1204479W001,727066.6075,4099081.941,-120.447887,37.010495,210.487,70.0086
3239,357250N1194766W001,818720.0634,3959173.403,-119.476587,35.724995,210.524,66.5788
7231,362682N1193575W001,827242.5081,4019854.161,-119.357487,36.268195,210.8,36.7347
173,377112N1213611W001,644459.6652,4175036.278,-121.361087,37.711195,211.229,93.3784
2002,363781N1194574W001,817816.7229,4031717.864,-119.457387,36.378095,211.438,48.869
66,375866N1212324W001,656065.2365,4161417.146,-121.232387,37.586595,211.479,10
1203,368946N1207557W001,699979.8443,4085531.6,-120.755687,36.894595,211.483,89.987
5752,359339N1192417W001,839086.5032,3983148.424,-119.241687,35.933895,211.771,66.8302
7234,362396N1193680W001,826417.9609,4016644.451,-119.367987,36.239595,211.85,26.916
2066,362506N1193495W001,828035.229,4017927.888,-119.349487,36.250595,211.952,39.5476
1949,364306N1195299W001,811100.4778,4037307.99,-119.529887,36.430595,212.158,29.7102
192,374863N1211699W001,661800.5871,4150393.774,-121.169887,37.486295,212.225,76.8901
5775,357583N1192371W001,840252.3665,3963675.047,-119.237088,35.758295,212.278,10
4727,370180N1205179W001,720815.7532,4099749.321,-120.517887,37.017995,212.364,80
4364,374860N1211696W001,661827.7599,4150361.002,-121.169587,37.485995,212.451,76.9097
5592,362397N1193685W001,826372.59,4016653.863,-119.368487,36.239695,212.497,26.8117
2603,358622N1192506W001,838588.9403,3975159.692,-119.250587,35.862195,212.735,39.4818
4936,370835N1206363W001,710100.0987,4106748.84,-120.636287,37.083495,213.119,51.7505
5349,361303N1193320W001,830113.8388,4004635.592,-119.331987,36.130295,213.139,33.2007
2554,360681N1192862W001,834501.5222,3997888.973,-119.286187,36.068095,213.18,55.2894
2476,363683N1194399W001,819427.4246,4030688.019,-119.439887,36.368295,213.251,50.2928
4658,371246N1207077W001,703642.5916,4111153.682,-120.707687,37.124595,213.257,58.5496
1215,368768N1207454W001,700944.4319,4083578.242,-120.745387,36.876795,213.392,69.4495
4931,368943N1207546W001,700078.6576,4085500.621,-120.754587,36.894295,213.754,89.5405
1240,370110N1204632W001,725703.6086,4099101.001,-120.463187,37.010995,213.82,74.3721
2065,362356N1193677W001,826461.5932,4016201.517,-119.367687,36.235595,213.9,26.5517
5623,358281N1192512W001,838679.9512,3971372.959,-119.251188,35.828095,214.372,55.4036
